Class,Spec,Role,URL
Death Knight,Blood,tank,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Frost,dps,https://www.wowhead.com/guide/classes/death-knight/frost/talent-builds-pve-dps
Death Knight,Unholy,dps,https://www.wowhead.com/guide/classes/death-knight/unholy/talent-builds-pve-dps
Demon Hunter,Havoc,dps,https://www.wowhead.com/guide/classes/demon-hunter/havoc/talent-builds-pve-dps
Demon Hunter,Devourer,dps,https://www.wowhead.com/guide/classes/demon-hunter/devourer/talent-builds-pve-dps
Demon Hunter,Vengeance,tank,https://www.wowhead.com/guide/classes/demon-hunter/vengeance/talent-builds-pve-tank
Druid,Balance,dps,https://www.wowhead.com/guide/classes/druid/balance/talent-builds-pve-dps
Druid,Feral,dps,https://www.wowhead.com/guide/classes/druid/feral/talent-builds-pve-dps
Druid,Guardian,tank,https://www.wowhead.com/guide/classes/druid/guardian/talent-builds-pve-tank
Druid,Restoration,healer,https://www.wowhead.com/guide/classes/druid/restoration/talent-builds-pve-healer
Evoker,Devastation,dps,https://www.wowhead.com/guide/classes/evoker/devastation/talent-builds-pve-dps
Evoker,Preservation,healer,https://www.wowhead.com/guide/classes/evoker/preservation/talent-builds-pve-healer
Evoker,Augmentation,dps,https://www.wowhead.com/guide/classes/evoker/augmentation/talent-builds-pve-dps
Hunter,Beast Mastery,dps,https://www.wowhead.com/guide/classes/hunter/beast-mastery/talent-builds-pve-dps
Hunter,Marksmanship,dps,https://www.wowhead.com/guide/classes/hunter/marksmanship/talent-builds-pve-dps
Hunter,Survival,dps,https://www.wowhead.com/guide/classes/hunter/survival/talent-builds-pve-dps
Mage,Arcane,dps,https://www.wowhead.com/guide/classes/mage/arcane/talent-builds-pve-dps
Mage,Fire,dps,https://www.wowhead.com/guide/classes/mage/fire/talent-builds-pve-dps
Mage,Frost,dps,https://www.wowhead.com/guide/classes/mage/frost/talent-builds-pve-dps
Monk,Brewmaster,tank,https://www.wowhead.com/guide/classes/monk/brewmaster/talent-builds-pve-tank
Monk,Mistweaver,healer,https://www.wowhead.com/guide/classes/monk/mistweaver/talent-builds-pve-healer
Monk,Windwalker,dps,https://www.wowhead.com/guide/classes/monk/windwalker/talent-builds-pve-dps
Paladin,Holy,healer,https://www.wowhead.com/guide/classes/paladin/holy/talent-builds-pve-healer
Paladin,Protection,tank,https://www.wowhead.com/guide/classes/paladin/protection/talent-builds-pve-tank
Paladin,Retribution,dps,https://www.wowhead.com/guide/classes/paladin/retribution/talent-builds-pve-dps
Priest,Discipline,healer,https://www.wowhead.com/guide/classes/priest/discipline/talent-builds-pve-healer
Priest,Holy,healer,https://www.wowhead.com/guide/classes/priest/holy/talent-builds-pve-healer
Priest,Shadow,dps,https://www.wowhead.com/guide/classes/priest/shadow/talent-builds-pve-dps
Rogue,Assassination,dps,https://www.wowhead.com/guide/classes/rogue/assassination/talent-builds-pve-dps
Rogue,Outlaw,dps,https://www.wowhead.com/guide/classes/rogue/outlaw/talent-builds-pve-dps
Rogue,Subtlety,dps,https://www.wowhead.com/guide/classes/rogue/subtlety/talent-builds-pve-dps
Shaman,Elemental,dps,https://www.wowhead.com/guide/classes/shaman/elemental/talent-builds-pve-dps
Shaman,Enhancement,dps,https://www.wowhead.com/guide/classes/shaman/enhancement/talent-builds-pve-dps
Shaman,Restoration,healer,https://www.wowhead.com/guide/classes/shaman/restoration/talent-builds-pve-healer
Warlock,Affliction,dps,https://www.wowhead.com/guide/classes/warlock/affliction/talent-builds-pve-dps
Warlock,Demonology,dps,https://www.wowhead.com/guide/classes/warlock/demonology/talent-builds-pve-dps
Warlock,Destruction,dps,https://www.wowhead.com/guide/classes/warlock/destruction/talent-builds-pve-dps
Warrior,Arms,dps,https://www.wowhead.com/guide/classes/warrior/arms/talent-builds-pve-dps
Warrior,Fury,dps,https://www.wowhead.com/guide/classes/warrior/fury/talent-builds-pve-dps
Warrior,Protection,tank,https://www.wowhead.com/guide/classes/warrior/protection/talent-builds-pve-tank
