Class,Spec,Role,RowIndex,ButtonLabel,TalentString,ImagePath,URL
Death Knight,Blood,tank,1,Copy Raid,CoPAAAAAAAAAAAAAAAAAAAAAAwYWGzwMGjhZbmZmmZxYmxMGAAAAYmZmZmZmZYGjBAMzMzAAAgxADQwywEYYBwMMDAgZGADA,Images/box_images/death_knight_blood_01.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Blood,tank,2,Copy Mythic+,CoPAAAAAAAAAAAAAAAAAAAAAAwYWmZGmxMzMMLzMz0MMGjZMAAAAgZmZmZmZGmZGAwYmZmBAAAz2ADQwygADLAmhZAAMzAAA,Images/box_images/death_knight_blood_02.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Blood,tank,3,Copy Cleave,CoPAAAAAAAAAAAAAAAAAAAAAAwYWmZGmxMzMMLzMz0MMGjZMAAAAgZmZmZmZGmxYAwYmZmBAAAjBGgglhJwwCgZYGAAzMAA,Images/box_images/death_knight_blood_03.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Blood,tank,4,Copy Council,CoPAAAAAAAAAAAAAAAAAAAAAAwYWmZGmxMzMMLzMz0MMGjZMAAAAgZmZmZmZGmxYAwYmZmBAAAjBGgglhJwwCgZYGAAzMAA,Images/box_images/death_knight_blood_04.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Blood,tank,5,Copy Delves,CoPAAAAAAAAAAAAAAAAAAAAAAwYWmZGmxMzMMLzMz0MMGjZMAAAAgZmZmZmZGmxYAwYmZmBAAAjBGgglhJwwCgZYGAAzMAA,Images/box_images/death_knight_blood_05.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Blood,tank,6,Copy Raid,CoPAAAAAAAAAAAAAAAAAAAAAAwYWGzwMGjhZbmZmmZxYmxMGAAAAYmZmZmZmZYGjBAMzMzAAAwADYsohNQWGwGgZYGAAwMwA,Images/box_images/death_knight_blood_06.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Blood,tank,7,Copy Mythic+,CoPAAAAAAAAAAAAAAAAAAAAAAwYWmZGmxMzMMLzMz0MMGjZMAAAAgZmZmZmZGmxYAwYmZmBAAgBGwYTDLgsMgNAzwMAAgZAA,Images/box_images/death_knight_blood_07.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Blood,tank,8,Copy Cleave,CoPAAAAAAAAAAAAAAAAAAAAAAwYWmZGmxMzMMLzMz0MMGjZMAAAAgZmZmZmZGmxYAwYmZmBAAgBGwYTDLgsMgNAzwMAAgZAA,Images/box_images/death_knight_blood_08.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Blood,tank,9,Copy Council,CoPAAAAAAAAAAAAAAAAAAAAAAwYWmZGmxMzMMLzMz0MMGjZMAAAAgZmZmZmZGmxYAwYmZmBAAgBGwYTDLgsMgNAzwMAAgZAA,Images/box_images/death_knight_blood_09.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Blood,tank,10,Copy Delves,CoPAAAAAAAAAAAAAAAAAAAAAAwYWmZGmxMzMMLzMz0MMGjZMAAAAgZmZmZmZGmxYAwYmZmBAAgBGwYTDLgsMgNAzwMAAgZAA,Images/box_images/death_knight_blood_10.png,https://www.wowhead.com/guide/classes/death-knight/blood/talent-builds-pve-tank
Death Knight,Frost,dps,1,Copy Raid,CsPAAAAAAAAAAAAAAAAAAAAAAMDwMjZMDY2mZmZmZxMjMDmxMzAPgxgZmZmZAAAAAAAAAAz2ADAYZQIjFMzMzMDMDghZGgZA,Images/box_images/death_knight_frost_01.png,https://www.wowhead.com/guide/classes/death-knight/frost/talent-builds-pve-dps
Death Knight,Frost,dps,2,Copy Mythic+,CsPAAAAAAAAAAAAAAAAAAAAAAMDYmhZMDY2MzMzMLmZ0MDGmZMgxMzMzMzMDAAAAAAAAAY2GYAALDCZsgZmZmZgBghZGgZA,Images/box_images/death_knight_frost_02.png,https://www.wowhead.com/guide/classes/death-knight/frost/talent-builds-pve-dps
Death Knight,Frost,dps,3,Copy Delves,CsPAAAAAAAAAAAAAAAAAAAAAAYAzMMjZAzmZmZmZxMjmZwwMjx4BmxMzMzMzMDAAAAAAAAAAbmNDDMwsphG2wMzMzMAAGAwMA,Images/box_images/death_knight_frost_03.png,https://www.wowhead.com/guide/classes/death-knight/frost/talent-builds-pve-dps
